       x               Bx            y              By             z           Bz       gamma          ID
  3.79692347E-03 -1.95189399E-03 -1.82969555E-02 -1.26341808E-03  0.00000000E+00  5.30566550E-01  1.17974599E+00  1.00000000E+00
 -4.45272151E-03  3.34642594E-03  1.39758185E-02 -2.09848861E-03  0.00000000E+00  5.43247886E-01  1.19109576E+00  2.00000000E+00
 -1.10952594E-02  7.84179749E-03  8.27336337E-03 -5.32721511E-03  0.00000000E+00  5.28917502E-01  1.17838332E+00  3.00000000E+00
  1.82684787E-02  5.40480354E-04 -8.92588543E-03  1.76627320E-03  0.00000000E+00  5.59593970E-01  1.20661488E+00  4.00000000E+00
 -1.98059869E-02  7.11946560E-03 -1.48900959E-02  1.05210693E-03  0.00000000E+00  5.66429773E-01  1.21347650E+00  5.00000000E+00
  1.83999578E-02  5.61411405E-03  1.90779121E-02  4.65948944E-03  0.00000000E+00  5.41601213E-01  1.18962095E+00  6.00000000E+00
 -1.99147167E-02  2.50775449E-03 -1.76372628E-02 -1.04608363E-02  0.00000000E+00  5.60177220E-01  1.20728776E+00  7.00000000E+00
 -9.47208690E-03  4.70713592E-03 -5.03548242E-03  9.80902030E-04  0.00000000E+00  5.46780865E-01  1.19436934E+00  8.00000000E+00
 -4.10688980E-03  5.71633154E-03 -1.51374206E-02  5.26068127E-03  0.00000000E+00  5.63303767E-01  1.21034112E+00  9.00000000E+00
  5.08181330E-03 -2.54066633E-03 -5.24265275E-03  3.70702671E-05  0.00000000E+00  5.65919973E-01  1.21292062E+00  1.00000000E+01
 -1.83908229E-02  6.09188564E-03 -1.88925351E-02  2.64042120E-03  0.00000000E+00  5.55141446E-01  1.20231403E+00  1.10000000E+01
 -6.36052565E-03 -2.05743180E-03 -7.69450276E-03 -5.39585819E-03  0.00000000E+00  5.54324124E-01  1.20151749E+00  1.20000000E+01
  7.35843502E-03  3.18651962E-03 -6.66619000E-03 -8.39132498E-03  0.00000000E+00  5.30996237E-01  1.18018242E+00  1.30000000E+01
 -2.82508216E-03  5.14832937E-03 -2.29219866E-03  7.44514384E-03  0.00000000E+00  5.58712879E-01  1.20581916E+00  1.40000000E+01
 -1.26370665E-03  1.07135263E-02  1.04190717E-02  9.43494933E-04  0.00000000E+00  5.47178625E-01  1.19481913E+00  1.50000000E+01
 -1.28532063E-02 -8.68310372E-03 -1.18710956E-02 -2.40253015E-03  0.00000000E+00  5.59128325E-01  1.20622580E+00  1.60000000E+01
 -1.47105261E-02 -4.14380687E-03  1.93897776E-02 -5.00479838E-03  0.00000000E+00  5.29815935E-01  1.17912325E+00  1.70000000E+01
  1.47187516E-02 -2.58818904E-03 -3.91642325E-03  9.60419421E-03  0.00000000E+00  5.60688461E-01  1.20777747E+00  1.80000000E+01
 -5.73368194E-03  3.05967669E-03  1.58502858E-03  6.13967697E-03  0.00000000E+00  5.55738081E-01  1.20289301E+00  1.90000000E+01
  5.00202729E-03 -3.74801828E-03  1.11011551E-02  1.07343445E-02  0.00000000E+00  5.45218915E-01  1.19300907E+00  2.00000000E+01
 -1.31206729E-02  4.24947971E-03  1.77256630E-02  2.90757485E-03  0.00000000E+00  5.27673783E-01  1.17725797E+00  2.10000000E+01
 -1.60079417E-02  8.54257427E-03  5.66582340E-03 -1.07336333E-02  0.00000000E+00  5.66753289E-01  1.21392614E+00  2.20000000E+01
 -1.97383680E-02  4.62111328E-04  1.86119150E-02  2.64502096E-03  0.00000000E+00  5.27823028E-01  1.17737075E+00  2.30000000E+01
 -5.43197469E-03 -3.20970072E-04 -8.15262698E-03  8.23843172E-03  0.00000000E+00  5.66413966E-01  1.21347496E+00  2.40000000E+01
 -9.39711086E-03  8.69550721E-03  1.85700274E-02 -1.07122985E-02  0.00000000E+00  5.44485128E-01  1.19238257E+00  2.50000000E+01
  1.45741941E-02 -1.72802479E-05  1.88218639E-02 -5.61108097E-03  0.00000000E+00  5.64648467E-01  1.21166234E+00  2.60000000E+01
 -8.03818039E-04  3.27028928E-03  1.61021699E-02 -9.64378918E-04  0.00000000E+00  5.45378307E-01  1.19305677E+00  2.70000000E+01
 -1.15943398E-02 -8.36211786E-03 -1.82921649E-02 -6.50447408E-03  0.00000000E+00  5.46846227E-01  1.19450618E+00  2.80000000E+01
 -6.90357749E-03  9.69232912E-03 -1.04038554E-02 -9.16101196E-03  0.00000000E+00  5.44668861E-01  1.19254163E+00  2.90000000E+01
  6.27582779E-03 -3.68612039E-03 -1.67917522E-02  1.49571987E-03  0.00000000E+00  5.28779724E-01  1.17820355E+00  3.00000000E+01
 -1.40472156E-02  8.15024135E-04 -4.38089142E-03  3.23204746E-03  0.00000000E+00  5.51174794E-01  1.19849017E+00  3.10000000E+01
 -1.08201905E-02  3.83134460E-03 -3.13926848E-03  3.82760776E-03  0.00000000E+00  5.63187153E-01  1.21019718E+00  3.20000000E+01
  1.40794015E-02 -5.28313046E-03 -2.54435098E-03  1.43039448E-03  0.00000000E+00  5.31892334E-01  1.18092434E+00  3.30000000E+01
  1.60260268E-02  6.05329383E-03  1.62781802E-02 -7.72470670E-03  0.00000000E+00  5.45994186E-01  1.19369992E+00  3.40000000E+01
 -8.64002157E-03  7.32674731E-03  1.54651988E-02  3.93605916E-03  0.00000000E+00  5.36672094E-01  1.18518533E+00  3.50000000E+01
 -1.91115681E-02  7.03976541E-04 -3.66142708E-03 -8.65795072E-03  0.00000000E+00  5.57677607E-01  1.20480159E+00  3.60000000E+01
 -7.95645595E-03 -6.89324268E-03  1.36611007E-02 -1.50863415E-04  0.00000000E+00  5.48802968E-01  1.19628200E+00  3.70000000E+01
 -1.27285586E-02  6.54322310E-03  1.52796543E-02 -2.63609409E-03  0.00000000E+00  5.46871847E-01  1.19447682E+00  3.80000000E+01
 -1.41788629E-02 -6.78374013E-03  1.28767797E-02 -4.57113685E-03  0.00000000E+00  5.55077247E-01  1.20227194E+00  3.90000000E+01
 -2.28657555E-04 -8.82565767E-03  9.49366964E-03 -6.81958390E-03  0.00000000E+00  5.45916529E-01  1.19365169E+00  4.00000000E+01
  1.09317391E-02 -1.03994125E-02 -1.99611452E-02 -4.83848701E-03  0.00000000E+00  5.37507276E-01  1.18598484E+00  4.10000000E+01
 -6.39533446E-03  4.18115497E-03  1.01862446E-02  4.05004092E-03  0.00000000E+00  5.27089690E-01  1.17676170E+00  4.20000000E+01
 -4.14722927E-03  5.67068190E-03  1.99348186E-02  1.03339064E-03  0.00000000E+00  5.37744288E-01  1.18611540E+00  4.30000000E+01
  1.36996601E-02  6.82723976E-03 -1.23497720E-02 -7.76321580E-03  0.00000000E+00  5.48201959E-01  1.19576876E+00  4.40000000E+01
 -5.96175384E-03  6.20413379E-03  5.65945030E-03  1.05797058E-02  0.00000000E+00  5.58277281E-01  1.20545283E+00  4.50000000E+01
  1.14433600E-03  1.10037214E-02 -9.93491019E-03 -6.73457287E-03  0.00000000E+00  5.56690604E-01  1.20392036E+00  4.60000000E+01
  2.63372895E-03 -1.17745912E-03  6.06315753E-03 -7.69134108E-03  0.00000000E+00  5.46969883E-01  1.19457740E+00  4.70000000E+01
 -1.34311143E-02 -6.68887292E-03  9.78179304E-04  9.33029828E-03  0.00000000E+00  5.33229490E-01  1.18218299E+00  4.80000000E+01
  1.93693032E-02  1.10408816E-02  9.00353721E-03 -2.88276534E-03  0.00000000E+00  5.52137291E-01  1.19950803E+00  4.90000000E+01
  2.21075459E-03  4.34662144E-04 -1.04947586E-02  9.37284747E-03  0.00000000E+00  5.32852064E-01  1.18181463E+00  5.00000000E+01
 -8.40671138E-03 -9.16271718E-03  1.73982231E-02  1.01044693E-02  0.00000000E+00  5.46003719E-01  1.19378510E+00  5.10000000E+01
 -5.40590271E-03  2.70478469E-03  1.62158021E-02 -1.15844307E-03  0.00000000E+00  5.62006700E-01  1.20900353E+00  5.20000000E+01
 -9.77432444E-03  5.53646509E-03 -1.43458741E-02 -5.47778327E-03  0.00000000E+00  5.58550431E-01  1.20564144E+00  5.30000000E+01
  8.58523064E-04 -6.85226061E-03  4.27896556E-03  9.94275553E-03  0.00000000E+00  5.43861631E-01  1.19177008E+00  5.40000000E+01
  9.54537169E-04  3.59592712E-03  1.30770211E-02  6.10653842E-03  0.00000000E+00  5.57086175E-01  1.20420346E+00  5.50000000E+01
  1.60111472E-02 -6.06352808E-03 -2.84693823E-03  7.64557804E-03  0.00000000E+00  5.35521919E-01  1.18418177E+00  5.60000000E+01
 -3.56388091E-03  1.06530836E-03  1.29806912E-02  4.59702460E-03  0.00000000E+00  5.51882409E-01  1.19917220E+00  5.70000000E+01
 -1.63755786E-02  1.00095705E-02  7.81385531E-03  2.17119271E-03  0.00000000E+00  5.33430988E-01  1.18233836E+00  5.80000000E+01
  6.91644585E-03 -6.08102488E-03 -1.53564947E-02  9.34281427E-03  0.00000000E+00  5.47928718E-01  1.19552765E+00  5.90000000E+01
 -1.73358544E-02 -1.10846179E-02 -1.63411592E-02 -2.72751257E-03  0.00000000E+00  5.61644357E-01  1.20875134E+00  6.00000000E+01
  2.43516043E-03 -6.83247762E-03  8.89967454E-03  3.83650438E-03  0.00000000E+00  5.48490193E-01  1.19600019E+00  6.10000000E+01
  5.93260496E-03  8.45288729E-03  1.87467953E-02  1.05723241E-02  0.00000000E+00  5.65278807E-01  1.21243152E+00  6.20000000E+01
  1.07289781E-02 -8.64451704E-03 -1.06996805E-03  1.05337629E-02  0.00000000E+00  5.45870742E-01  1.19366130E+00  6.30000000E+01
 -4.10241790E-03 -7.84421333E-03 -5.38689691E-04 -5.13448911E-03  0.00000000E+00  5.26915779E-01  1.17665637E+00  6.40000000E+01
 -1.30778641E-02  6.82471858E-04 -1.42157026E-02  6.16139010E-03  0.00000000E+00  5.60910942E-01  1.20794401E+00  6.50000000E+01
  1.97070957E-02 -1.04878859E-03  1.53603127E-02 -1.19484436E-03  0.00000000E+00  5.29967108E-01  1.17922205E+00  6.60000000E+01
  6.37919702E-03 -3.51539531E-03  1.43210468E-03 -8.89489480E-03  0.00000000E+00  5.48690815E-01  1.19621426E+00  6.70000000E+01
  4.64595082E-03  2.35306312E-03 -1.01095399E-02 -4.24581233E-05  0.00000000E+00  5.50825104E-01  1.19815382E+00  6.80000000E+01
 -9.42993885E-03 -1.15955219E-04  5.84885939E-03 -3.65961537E-03  0.00000000E+00  5.52624434E-01  1.19987182E+00  6.90000000E+01
 -7.29239434E-03  7.39659324E-03  1.26138870E-02  8.01484994E-03  0.00000000E+00  5.50919414E-01  1.19834076E+00  7.00000000E+01
  1.60580782E-02 -4.21281363E-03  7.94811727E-03 -9.91957087E-03  0.00000000E+00  5.57936096E-01  1.20508943E+00  7.10000000E+01
  1.65352603E-02 -2.03103041E-03 -7.70695260E-03 -6.45914250E-03  0.00000000E+00  5.29726747E-01  1.17904877E+00  7.20000000E+01
  9.87976692E-03 -9.20473613E-03 -9.88441141E-03 -2.48242556E-03  0.00000000E+00  5.41663236E-01  1.18970922E+00  7.30000000E+01
 -1.49099508E-02  3.33899624E-03  3.11016707E-03  9.48719785E-04  0.00000000E+00  5.53699466E-01  1.20089922E+00  7.40000000E+01
  8.10329681E-03 -5.63590833E-03 -7.71331233E-05  8.90051176E-03  0.00000000E+00  5.61224730E-01  1.20831843E+00  7.50000000E+01
 -5.09197368E-03 -1.04872006E-02  1.17821318E-02 -8.66948993E-03  0.00000000E+00  5.57911364E-01  1.20512565E+00  7.60000000E+01
 -1.95402539E-02  1.06837195E-02 -1.53803209E-02 -1.44246470E-03  0.00000000E+00  5.56297733E-01  1.20349526E+00  7.70000000E+01
  4.32522619E-03 -9.69834251E-03 -1.02995911E-02  6.69725157E-03  0.00000000E+00  5.30143505E-01  1.17948728E+00  7.80000000E+01
 -1.22229330E-02 -9.64834736E-03 -9.32063912E-03  8.85418107E-03  0.00000000E+00  5.41556571E-01  1.18967980E+00  7.90000000E+01
 -1.64763600E-02 -4.05070746E-03  3.39822653E-03  7.69589816E-03  0.00000000E+00  5.52640692E-01  1.19994109E+00  8.00000000E+01
 -1.40936262E-02 -2.36075101E-03 -3.68724273E-03 -1.56947552E-03  0.00000000E+00  5.37400350E-01  1.18578599E+00  8.10000000E+01
  9.68064418E-04  1.10183393E-02 -2.05148829E-03  5.74467792E-03  0.00000000E+00  5.64490203E-01  1.21161273E+00  8.20000000E+01
 -9.12773153E-03  8.03486695E-03  6.66813199E-04  1.02785438E-05  0.00000000E+00  5.38668462E-01  1.18697248E+00  8.30000000E+01
 -1.34387293E-02  8.52421768E-03  4.94213089E-03 -5.84885309E-03  0.00000000E+00  5.59560106E-01  1.20667247E+00  8.40000000E+01
  1.60258049E-02 -2.19069451E-03  4.44613840E-04 -5.03435563E-03  0.00000000E+00  5.33017042E-01  1.18191198E+00  8.50000000E+01
  1.71479943E-02  5.25976697E-03 -1.40643025E-02  8.62404872E-04  0.00000000E+00  5.62878490E-01  1.20988846E+00  8.60000000E+01
 -5.62135010E-03  5.65396795E-03  1.74258205E-02 -3.29828416E-03  0.00000000E+00  5.44392054E-01  1.19217167E+00  8.70000000E+01
 -1.69951817E-02  1.67102266E-03  9.38333687E-03  6.44844787E-03  0.00000000E+00  5.27363091E-01  1.17700521E+00  8.80000000E+01
 -4.15409291E-03 -7.34244807E-03 -1.54628909E-02 -1.08868803E-02  0.00000000E+00  5.58293849E-01  1.20548831E+00  8.90000000E+01
 -6.45148393E-03 -7.80332930E-03  4.28896014E-03 -8.53656423E-03  0.00000000E+00  5.56015805E-01  1.20323732E+00  9.00000000E+01
 -1.78059300E-02 -1.00337792E-02  1.09658422E-03 -3.00104273E-03  0.00000000E+00  5.44783300E-01  1.19258954E+00  9.10000000E+01
  1.04450868E-02 -1.86970005E-03  8.52154980E-03 -4.45740197E-03  0.00000000E+00  5.31266848E-01  1.18037171E+00  9.20000000E+01
 -1.80765146E-03 -1.74196559E-03  7.66911634E-03  5.91480173E-04  0.00000000E+00  5.38270870E-01  1.18656351E+00  9.30000000E+01
  3.44430548E-03 -3.09509231E-03  2.28426721E-03 -3.12655826E-03  0.00000000E+00  5.60544303E-01  1.20756503E+00  9.40000000E+01
 -3.40269568E-03  9.75760375E-03  1.59397822E-02 -3.74858959E-03  0.00000000E+00  5.46266771E-01  1.19396423E+00  9.50000000E+01
 -2.60034714E-03  7.62129183E-04 -1.43179376E-02 -4.99878616E-03  0.00000000E+00  5.49345133E-01  1.19677314E+00  9.60000000E+01
  1.33022120E-02  9.14692588E-03  1.35324152E-04 -6.47652624E-03  0.00000000E+00  5.31652168E-01  1.18079280E+00  9.70000000E+01
 -9.37245227E-03  2.80505841E-03  1.24279375E-02 -8.14525248E-03  0.00000000E+00  5.59275565E-01  1.20636423E+00  9.80000000E+01
 -2.53133919E-03 -7.94869515E-03 -1.72889559E-02  8.05934600E-03  0.00000000E+00  5.50230363E-01  1.19769634E+00  9.90000000E+01
 -1.86015786E-02  4.91002736E-03 -3.22225322E-03 -6.18965797E-03  0.00000000E+00  5.57603817E-01  1.20471824E+00  1.00000000E+02
 -9.66857881E-03 -7.51577991E-03  4.48059368E-03  9.44159137E-06  0.00000000E+00  5.66322137E-01  1.21337177E+00  1.01000000E+02
 -1.43257597E-02 -8.52173552E-03  1.45793239E-02  1.01767742E-02  0.00000000E+00  5.29990508E-01  1.17938480E+00  1.02000000E+02
  8.45277924E-03 -1.00688341E-02 -1.60154672E-02  5.68156630E-03  0.00000000E+00  5.30753186E-01  1.18001400E+00  1.03000000E+02
  8.53458552E-03  1.51486752E-03  6.24745641E-03 -5.70601621E-03  0.00000000E+00  5.50291568E-01  1.19767407E+00  1.04000000E+02
  1.84031997E-03  3.51954878E-03  7.55166867E-03 -8.14968867E-03  0.00000000E+00  5.35580807E-01  1.18422051E+00  1.05000000E+02
 -1.57431715E-02 -5.17254629E-04 -6.50260365E-03 -1.03655792E-02  0.00000000E+00  5.54409762E-01  1.20166436E+00  1.06000000E+02
  1.45515234E-02 -4.63846962E-04  1.97131494E-02 -3.48863036E-03  0.00000000E+00  5.56624105E-01  1.20372140E+00  1.07000000E+02
  1.07374997E-03  1.07754891E-02 -9.83270998E-03 -2.92524987E-03  0.00000000E+00  5.54745880E-01  1.20200266E+00  1.08000000E+02
  1.63858654E-02  6.08409160E-03  1.43544773E-02 -5.44260152E-03  0.00000000E+00  5.30519609E-01  1.17975537E+00  1.09000000E+02
  1.23268279E-02  4.90696263E-03  1.55880803E-02  2.83154050E-03  0.00000000E+00  5.56150954E-01  1.20327968E+00  1.10000000E+02
 -1.06826360E-03  3.30785353E-03 -1.65911265E-02  8.94139711E-03  0.00000000E+00  5.36888288E-01  1.18539666E+00  1.11000000E+02
  1.16718380E-02  5.61561693E-03  1.52528632E-02  3.41569468E-04  0.00000000E+00  5.36432153E-01  1.18493985E+00  1.12000000E+02
 -5.31153485E-03  5.31247383E-03  1.82853446E-02  3.75669979E-03  0.00000000E+00  5.39687536E-01  1.18787381E+00  1.13000000E+02
  1.93881645E-02 -8.72626039E-03 -2.51518556E-03  5.13964783E-03  0.00000000E+00  5.31700929E-01  1.18081651E+00  1.14000000E+02
  8.08459523E-03 -6.62034732E-03 -1.14377107E-02  1.01348513E-02  0.00000000E+00  5.44677189E-01  1.19252277E+00  1.15000000E+02
 -9.17852159E-04  2.72793273E-03  3.45794889E-03  8.43383825E-03  0.00000000E+00  5.47684714E-01  1.19526030E+00  1.16000000E+02
  4.29197472E-03 -8.96727261E-03  1.81921839E-02  5.50945081E-03  0.00000000E+00  5.32643101E-01  1.18164966E+00  1.17000000E+02
  1.32177669E-02  6.65208292E-03  1.11853703E-02 -8.74033572E-03  0.00000000E+00  5.39169911E-01  1.18747163E+00  1.18000000E+02
 -1.18674505E-03  3.41023742E-03  1.39710405E-02 -6.06751229E-03  0.00000000E+00  5.43927554E-01  1.19174836E+00  1.19000000E+02
