@logo      Multiple-Run
Bfac        2.000e-001
  creator    GPT
  @logo      B&M-General Particle Tracer
  numderivs           0
  cputime     7.800e-002
  time        5.000e-009
              x           y           z           G          Bx          By          Bz          ID 
     1.506e-003  2.488e-004  8.212e-001  1.196e+000 -8.899e-004  6.197e-004  5.482e-001  2.600e+001 
    -1.507e-003 -1.122e-003  8.241e-001  1.196e+000  3.891e-004 -5.578e-004  5.482e-001  3.700e+001 
    -1.422e-003  1.316e-003  8.276e-001  1.196e+000  4.486e-005 -4.690e-004  5.487e-001  4.800e+001 
     1.368e-003  1.798e-003  8.276e-001  1.196e+000 -5.675e-004 -1.241e-004  5.487e-001  5.900e+001 
     6.443e-004 -1.437e-003  8.272e-001  1.196e+000  1.424e-004  4.317e-004  5.487e-001  7.000e+001 
    -3.176e-003 -2.229e-003  8.214e-001  1.196e+000  1.576e-003 -6.668e-004  5.482e-001  8.100e+001 
     7.249e-004  1.960e-003  8.153e-001  1.195e+000 -1.144e-003  3.830e-004  5.477e-001  9.200e+001 
    -9.494e-004 -1.484e-003  8.212e-001  1.196e+000  9.207e-004 -3.927e-004  5.482e-001  1.470e+002 
     2.506e-004  1.170e-003  8.238e-001  1.196e+000 -8.422e-004 -2.195e-004  5.483e-001  1.580e+002 
    -1.562e-003  1.289e-003  8.272e-001  1.196e+000 -2.860e-004 -1.041e-003  5.486e-001  1.690e+002 
    -8.195e-004 -1.285e-003  8.271e-001  1.196e+000  6.137e-004  6.072e-004  5.486e-001  1.800e+002 
     3.176e-003 -6.412e-006  8.272e-001  1.196e+000 -3.891e-005  9.957e-004  5.487e-001  1.910e+002 
    -7.259e-004 -8.557e-004  8.182e-001  1.195e+000  3.086e-004 -3.548e-004  5.478e-001  2.020e+002 
    -1.399e-003 -1.071e-003  8.153e-001  1.195e+000  7.179e-004 -9.419e-004  5.477e-001  2.130e+002 
     1.641e-004  3.647e-003  8.213e-001  1.196e+000 -1.420e-003  3.409e-005  5.482e-001  2.680e+002 
    -5.253e-004 -2.842e-005  8.236e-001  1.196e+000  8.404e-004 -2.803e-004  5.483e-001  2.790e+002 
     1.138e-003  1.664e-004  8.271e-001  1.196e+000 -4.915e-004  7.230e-004  5.486e-001  2.900e+002 
     7.372e-004 -3.570e-003  8.276e-001  1.196e+000  9.369e-004  2.709e-004  5.487e-001  3.010e+002 
    -7.763e-004  1.138e-003  8.242e-001  1.196e+000 -2.061e-004 -7.386e-005  5.482e-001  3.120e+002 
     2.341e-003 -6.832e-004  8.185e-001  1.196e+000 -3.123e-004  2.903e-004  5.482e-001  3.230e+002 
    -6.986e-004 -5.369e-004  8.204e-001  1.196e+000  1.127e-004 -9.456e-004  5.482e-001  3.890e+002 
     3.182e-003 -1.519e-003  8.269e-001  1.196e+000  2.242e-004  1.754e-003  5.485e-001  4.000e+002 
     6.978e-004 -2.987e-003  8.272e-001  1.196e+000  1.144e-003  3.433e-004  5.487e-001  4.110e+002 
     1.930e-005  1.844e-003  8.273e-001  1.196e+000 -1.171e-003 -2.271e-004  5.486e-001  4.220e+002 
    -3.341e-003 -5.666e-004  8.239e-001  1.196e+000  1.675e-004 -1.334e-003  5.482e-001  4.330e+002 
    -2.146e-003  3.410e-003  8.183e-001  1.195e+000 -1.038e-003 -1.214e-003  5.478e-001  4.440e+002 
     3.462e-003 -1.424e-003  8.155e-001  1.195e+000  2.565e-004  2.061e-003  5.478e-001  4.550e+002 
    -2.422e-003 -2.479e-003  8.205e-001  1.196e+000  7.837e-004 -4.852e-004  5.482e-001  5.100e+002 
     6.217e-004 -1.415e-003  8.270e-001  1.196e+000 -1.987e-004 -3.837e-005  5.486e-001  5.210e+002 
    -4.376e-004  1.378e-003  8.271e-001  1.196e+000 -3.689e-004  7.874e-005  5.487e-001  5.320e+002 
     8.159e-005  9.583e-004  8.271e-001  1.196e+000  3.514e-004  1.719e-005  5.486e-001  5.430e+002 
    -9.906e-004  3.890e-003  8.242e-001  1.196e+000 -1.695e-003 -6.493e-004  5.483e-001  5.540e+002 
     5.621e-004 -3.674e-003  8.171e-001  1.195e+000  1.452e-003  3.639e-004  5.478e-001  5.650e+002 
     3.057e-003 -1.750e-003  8.181e-001  1.195e+000  1.025e-003  1.597e-003  5.478e-001  6.310e+002 
    -3.017e-003  1.788e-003  8.272e-001  1.196e+000 -3.889e-004 -5.770e-004  5.487e-001  6.420e+002 
     1.603e-003 -1.359e-003  8.271e-001  1.196e+000  2.149e-004  6.220e-005  5.486e-001  6.530e+002 
     1.070e-003  4.689e-003  8.274e-001  1.196e+000 -1.116e-003  6.100e-005  5.487e-001  6.640e+002 
     1.775e-004 -5.909e-003  8.242e-001  1.196e+000  2.520e-003  8.786e-004  5.484e-001  6.750e+002 
    -1.739e-003 -8.081e-004  8.169e-001  1.195e+000 -7.859e-005 -7.986e-004  5.478e-001  6.860e+002 
     3.645e-003  2.431e-003  8.182e-001  1.195e+000 -1.323e-003  1.769e-003  5.478e-001  7.520e+002 
     2.737e-003  5.590e-004  8.275e-001  1.196e+000  8.259e-005  5.522e-004  5.487e-001  7.630e+002 
    -5.780e-003  3.003e-003  8.271e-001  1.196e+000 -3.691e-004 -1.976e-003  5.486e-001  7.740e+002 
    -5.845e-004 -3.606e-003  8.269e-001  1.196e+000  5.044e-004  4.680e-005  5.486e-001  7.850e+002 
     2.142e-004  1.461e-003  8.237e-001  1.196e+000 -5.613e-004  3.304e-004  5.482e-001  7.960e+002 
     2.210e-003 -1.801e-003  8.170e-001  1.195e+000  1.204e-003  1.036e-003  5.478e-001  8.070e+002 
    -4.415e-003 -2.315e-003  8.241e-001  1.196e+000  1.273e-003 -1.796e-003  5.483e-001  8.730e+002 
     6.311e-004  5.358e-003  8.276e-001  1.196e+000 -1.581e-003 -7.335e-006  5.487e-001  8.840e+002 
     3.592e-003  2.297e-005  8.302e-001  1.196e+000  1.490e-004  1.343e-003  5.486e-001  8.950e+002 
    -3.203e-003 -4.128e-005  8.269e-001  1.196e+000 -9.651e-005 -4.938e-004  5.486e-001  9.060e+002 
     1.407e-003 -2.594e-003  8.212e-001  1.196e+000  3.120e-004 -3.222e-005  5.482e-001  9.170e+002 
     2.242e-003  2.741e-003  8.156e-001  1.195e+000 -1.062e-003  1.266e-003  5.477e-001  9.280e+002 
    -2.929e-003  5.795e-003  8.268e-001  1.196e+000 -1.623e-003 -1.204e-003  5.486e-001  9.940e+002 
     6.143e-004 -5.336e-003  8.302e-001  1.196e+000  1.406e-003  5.983e-004  5.486e-001  1.005e+003 
     3.075e-003  3.532e-003  8.301e-001  1.196e+000 -1.414e-003  9.654e-004  5.486e-001  1.016e+003 
     3.514e-004 -4.229e-003  8.272e-001  1.196e+000  1.362e-003 -9.519e-005  5.487e-001  1.027e+003 
    -5.409e-003  3.380e-004  8.212e-001  1.196e+000 -4.314e-005 -2.124e-003  5.482e-001  1.038e+003 
    -2.026e-003 -2.141e-003  8.155e-001  1.195e+000  7.873e-004 -2.162e-003  5.478e-001  1.049e+003 
     1.555e-003  3.637e-003  8.237e-001  1.196e+000 -7.577e-004  4.830e-004  5.483e-001  1.104e+003 
     5.733e-003 -2.462e-003  8.241e-001  1.196e+000  4.832e-004  1.974e-003  5.483e-001  1.115e+003 
    -3.098e-003 -1.105e-003  8.274e-001  1.196e+000 -3.719e-005 -5.595e-004  5.487e-001  1.126e+003 
    -4.731e-003 -3.186e-003  8.275e-001  1.196e+000  1.048e-003 -1.343e-003  5.487e-001  1.137e+003 
     2.688e-005  5.607e-003  8.269e-001  1.196e+000 -1.922e-003 -6.873e-005  5.486e-001  1.148e+003 
     3.581e-003  5.447e-004  8.212e-001  1.196e+000  1.022e-004  8.979e-004  5.482e-001  1.159e+003 
    -2.912e-003  2.644e-003  8.152e-001  1.195e+000 -1.103e-003 -6.532e-004  5.478e-001  1.170e+003 
    -2.307e-003 -4.891e-003  8.211e-001  1.196e+000  1.543e-003 -4.489e-004  5.482e-001  1.225e+003 
    -8.558e-004  2.295e-003  8.240e-001  1.196e+000 -5.697e-004  2.542e-004  5.483e-001  1.236e+003 
     5.121e-003  2.344e-003  8.274e-001  1.196e+000 -5.725e-004  1.344e-003  5.487e-001  1.247e+003 
    -2.750e-003  3.775e-003  8.276e-001  1.196e+000 -1.333e-003 -6.781e-004  5.487e-001  1.258e+003 
    -3.340e-003 -3.116e-003  8.264e-001  1.196e+000  1.774e-003 -1.520e-003  5.485e-001  1.269e+003 
     5.192e-003 -2.353e-005  8.213e-001  1.196e+000 -1.627e-004  2.592e-003  5.482e-001  1.280e+003 
     3.823e-003 -3.876e-003  8.153e-001  1.195e+000  2.151e-003  1.819e-003  5.477e-001  1.291e+003 
     1.718e-003 -4.628e-003  8.205e-001  1.195e+000  1.900e-003  3.125e-004  5.478e-001  1.357e+003 
    -3.783e-005  3.838e-003  8.240e-001  1.196e+000 -6.524e-004  2.163e-004  5.483e-001  1.368e+003 
     2.231e-003 -1.220e-003  8.271e-001  1.196e+000  4.984e-004  5.815e-005  5.486e-001  1.379e+003 
    -3.076e-003 -2.748e-003  8.272e-001  1.196e+000  3.095e-004 -5.704e-004  5.486e-001  1.390e+003 
    -2.051e-003 -5.751e-003  8.268e-001  1.196e+000  1.599e-003 -5.964e-004  5.486e-001  1.401e+003 
     3.189e-003  4.628e-003  8.202e-001  1.195e+000 -2.243e-003  1.405e-003  5.478e-001  1.412e+003 
    -3.237e-003  2.581e-003  8.199e-001  1.195e+000 -1.537e-003 -1.413e-003  5.478e-001  1.478e+003 
    -4.306e-003 -7.584e-004  8.238e-001  1.196e+000  2.308e-004 -2.154e-003  5.483e-001  1.489e+003 
    -7.249e-004  1.504e-003  8.263e-001  1.196e+000 -7.262e-004  1.087e-003  5.485e-001  1.500e+003 
     7.372e-003 -5.037e-004  8.274e-001  1.196e+000 -2.882e-004  1.914e-003  5.486e-001  1.511e+003 
    -4.461e-003  3.331e-003  8.267e-001  1.196e+000 -1.199e-003 -1.066e-003  5.486e-001  1.522e+003 
     5.968e-005 -4.216e-003  8.180e-001  1.195e+000  2.351e-003 -3.206e-004  5.478e-001  1.533e+003 
     3.490e-003  3.770e-003  8.124e-001  1.195e+000 -2.002e-003  1.566e-003  5.476e-001  1.544e+003 
     3.378e-003  2.864e-003  8.204e-001  1.196e+000 -2.288e-004  7.633e-004  5.482e-001  1.599e+003 
    -1.064e-003  2.519e-003  8.237e-001  1.196e+000 -1.915e-003  3.430e-005  5.483e-001  1.610e+003 
    -1.513e-003 -5.314e-003  8.273e-001  1.196e+000  1.521e-003 -6.762e-004  5.487e-001  1.621e+003 
     1.781e-003  1.168e-003  8.272e-001  1.196e+000  2.501e-004  8.627e-004  5.486e-001  1.632e+003 
     5.035e-003 -4.982e-004  8.266e-001  1.196e+000  1.755e-004  9.591e-004  5.486e-001  1.643e+003 
    -5.062e-003  1.584e-003  8.170e-001  1.195e+000 -1.065e-003 -2.740e-003  5.478e-001  1.654e+003 
    -4.686e-003 -2.018e-003  8.109e-001  1.195e+000  1.258e-003 -2.417e-003  5.475e-001  1.665e+003 
     2.447e-003  2.668e-003  8.200e-001  1.195e+000 -9.738e-004  1.624e-003  5.478e-001  1.720e+003 
     4.697e-004 -5.675e-003  8.272e-001  1.196e+000  2.072e-003  1.664e-004  5.486e-001  1.731e+003 
    -2.316e-003  9.239e-004  8.266e-001  1.196e+000 -8.818e-004 -8.672e-004  5.486e-001  1.742e+003 
    -1.360e-003 -2.467e-003  8.273e-001  1.196e+000  4.742e-004 -7.842e-004  5.487e-001  1.753e+003 
